name,symbol,instrument type,exchange,industry
Elmera Group ASA,ELMRA.OL,Stocks,Oslo,Utilities
Okea ASA,OKEA.OL,Stocks,Oslo,Utilities
Polight ASA,PLT.OL,Stocks,Oslo,IndustrialGoods
Norse Atlantic ASA,NORSE.OL,Stocks,Oslo,ConsumerGoods
Hexagon Purus ASA,HPUR.OL,Stocks,Oslo,IndustrialGoods
Cool Company Ltd,CLCO.OL,Stocks,Oslo,IndustrialGoods
Magnora ASA,MGN.OL,Stocks,Oslo,Utilities
Odfjell Technology Ltd,OTL.OL,Stocks,Oslo,Utilities
Odfjell SE,ODFB.OL,Stocks,Oslo,IndustrialGoods
Elliptic Laboratories ASA,ELABS.OL,Stocks,Oslo,Technology
Akastor ASA,AKAST.OL,Stocks,Oslo,Utilities
Scana ASA,SCANA.OL,Stocks,Oslo,IndustrialGoods
Endur ASA,ENDUR.OL,Stocks,Oslo,IndustrialGoods
Cloudberry Clean Energy ASA,CLOUD.OL,Stocks,Oslo,Utilities
Deep Value Driller AS,DVD.OL,Stocks,Oslo,Utilities
Aker Horizons ASA,AKH.OL,Stocks,Oslo,Financial
Reach Subsea ASA,REACH.OL,Stocks,Oslo,Utilities
Zaptec ASA,ZAP.OL,Stocks,Oslo,ConsumerGoods
Agilyx ASA,AGLX.OL,Stocks,Oslo,IndustrialGoods
Sparebank 1 Ostlandet,SPOL.OL,Stocks,Oslo,Financial
Bouvet ASA,BOUV.OL,Stocks,Oslo,Technology
Oncoinvent ASA,ONCIN.OL,Stocks,Oslo,ConsumerGoods
BW Offshore Ltd,BWO.OL,Stocks,Oslo,IndustrialGoods
Napatech A/S,NAPA.OL,Stocks,Oslo,Services
Af Gruppen ASA,AFG.OL,Stocks,Oslo,IndustrialGoods
Archer Ltd,ARCH.OL,Stocks,Oslo,Utilities
Gigante Salmon AS,GIGA.OL,Stocks,Oslo,ConsumerGoods
Photocure ASA,PHO.OL,Stocks,Oslo,ConsumerGoods
Smartcraft ASA,SMCRT.OL,Stocks,Oslo,Technology
Wilh Wilhelmsen Holding ASA,WWIB.OL,Stocks,Oslo,ConsumerGoods
Questerre Energy Corp (Canada),QEC.OL,Stocks,Oslo,Utilities
B2 Impact ASA,B2I.OL,Stocks,Oslo,Financial
Borgestad ASA,BOR.OL,Stocks,Oslo,Financial
Interoil Exploration and Production ASA,IOX.OL,Stocks,Oslo,Utilities
ABG Sundal Collier Holding ASA,ABG.OL,Stocks,Oslo,Financial
Petronor E&P ASA,PNOR.OL,Stocks,Oslo,Utilities
Idex Biometrics ASA,IDEX.OL,Stocks,Oslo,IndustrialGoods
Awilco LNG ASA,ALNG.OL,Stocks,Oslo,IndustrialGoods
Zelluna ASA,ZLNA.OL,Stocks,Oslo,ConsumerGoods
Noram Drilling AS,NORAM.OL,Stocks,Oslo,Utilities
Amsc ASA,AMSC.OL,Stocks,Oslo,IndustrialGoods
Multiconsult ASA,MULTI.OL,Stocks,Oslo,IndustrialGoods
Andfjord Salmon Group AS,ANDF.OL,Stocks,Oslo,ConsumerGoods
Sparebank 1 Helgeland,HELG.OL,Stocks,Oslo,Financial
Dolphin Drilling AS,DDRIL.OL,Stocks,Oslo,BasicMaterials
Medistim ASA,MEDI.OL,Stocks,Oslo,ConsumerGoods
Bewi ASA,BEWI.OL,Stocks,Oslo,IndustrialGoods
Abl Group ASA,ABL.OL,Stocks,Oslo,ConsumerGoods
Arcticzymes Technologies ASA,AZT.OL,Stocks,Oslo,ConsumerGoods
NRC Group ASA,NRC.OL,Stocks,Oslo,IndustrialGoods
Kmc Properties ASA,KMCP.OL,Stocks,Oslo,Financial
Saga Pure ASA,SAGA.OL,Stocks,Oslo,Financial
Pareto Bank ASA,PARB.OL,Stocks,Oslo,Financial
Vow ASA,VOW.OL,Stocks,Oslo,IndustrialGoods
Sparebanken More,MORG.OL,Stocks,Oslo,Financial
Olav Thon Eiendomsselskap ASA,OLT.OL,Stocks,Oslo,Financial
Eidesvik Offshore ASA,EIOF.OL,Stocks,Oslo,Utilities
Axactor ASA,ACR.OL,Stocks,Oslo,Financial
Next Biometrics Group ASA,NEXT.OL,Stocks,Oslo,IndustrialGoods
Rogaland Sparebank,ROGS.OL,Stocks,Oslo,Financial
SD Standard ETC PLC,SDSD.OL,Stocks,Oslo,Utilities
Sparebank 1 Ringerike Hadeland,RING.OL,Stocks,Oslo,Financial
Otovo ASA,OTOVO.OL,Stocks,Oslo,Utilities
Capsol Technologies ASA,CAPSL.OL,Stocks,Oslo,IndustrialGoods
Otello Corporation ASA,OTEC.OL,Stocks,Oslo,Technology
Lytix Biopharma AS,LYTIX.OL,Stocks,Oslo,ConsumerGoods
Morrow Bank ASA,MOBA.OL,Stocks,Oslo,Financial
Selvaag Bolig ASA,SBO.OL,Stocks,Oslo,ConsumerGoods
Nekkar Asa,NKR.OL,Stocks,Oslo,IndustrialGoods
Arendals Fossekompani ASA,AFK.OL,Stocks,Oslo,Utilities
SED Energy Holdings PLC,ENH.OL,Stocks,Oslo,Utilities
Ayfie International AS,AIX.OL,Stocks,Oslo,Technology
Sparebank 1 Ostfold Akershus,SOAG.OL,Stocks,Oslo,Financial
Cambi ASA,CAMBI.OL,Stocks,Oslo,IndustrialGoods
Tietoevry Oyj,TIETO.OL,Stocks,Oslo,Technology
Sparebank 1 Nordmore,SNOR.OL,Stocks,Oslo,Financial
Masoval AS,MAS.OL,Stocks,Oslo,ConsumerGoods
Icelandic Salmon AS,ISLAX.OL,Stocks,Oslo,ConsumerGoods
Strongpoint ASA,STRO.OL,Stocks,Oslo,Technology
Vistin Pharma ASA,VISTN.OL,Stocks,Oslo,ConsumerGoods
Sparebanken Ost,SPOG.OL,Stocks,Oslo,Financial
Romerike Sparebank,ROMER.OL,Stocks,Oslo,Financial
North Energy ASA,NORTH.OL,Stocks,Oslo,Utilities
Proximar Seafood AS,PROXI.OL,Stocks,Oslo,ConsumerGoods
Electromagnetic Geoservices ASA,EMGS.OL,Stocks,Oslo,Utilities
Xplora Technologies AS,XPLRA.OL,Stocks,Oslo,Financial
Elektroimportoren AS,ELIMP.OL,Stocks,Oslo,ConsumerGoods
Komplett ASA,KOMPL.OL,Stocks,Oslo,Services
Stainless Tankers ASA,STST.OL,Stocks,Oslo,IndustrialGoods
