name,symbol,instrument type,exchange,industry
C.H.Robinson Worldwide Inc,CHRW,Stocks,NASDAQ,Services
Texas Instruments Inc,TXN,Stocks,NASDAQ,Technology
CSX Corp,CSX,Stocks,NASDAQ,Services
Automatic Data Processing Inc,ADP,Stocks,NASDAQ,Technology
CDW Corp,CDW,Stocks,NASDAQ,Technology
Xcel Energy Inc,XEL,Stocks,NASDAQ,Utilities
Ross Stores Inc,ROST,Stocks,NASDAQ,Services
Principal Financial Group Inc,PFG,Stocks,NASDAQ,Financial
Henry Schein Inc,HSIC,Stocks,NASDAQ,Services
Cognizant Technology Solutions Corp,CTSH,Stocks,NASDAQ,Technology
Charter Communications Inc,CHTR,Stocks,NASDAQ,Services
Applied Materials Inc,AMAT,Stocks,NASDAQ,Technology
Steel Dynamics Inc,STLD,Stocks,NASDAQ,BasicMaterials
Dollar Tree Inc,DLTR,Stocks,NASDAQ,ConsumerGoods
News Corp,NWSA,Stocks,NASDAQ,Services
Campbell Soup Co,CPB,Stocks,NASDAQ,ConsumerGoods
Visteon Corp,VC,Stocks,NASDAQ,ConsumerGoods
O'Reilly Automotive Inc,ORLY,Stocks,NASDAQ,Services
Casey's General Stores Inc,CASY,Stocks,NASDAQ,Services
LKQ Corp,LKQ,Stocks,NASDAQ,ConsumerGoods
Gen Digital Inc,GEN,Stocks,NASDAQ,Technology
Fifth Third Bancorp,FITB,Stocks,NASDAQ,Financial
NetApp Inc,NTAP,Stocks,NASDAQ,Technology
Sanmina Corp,SANM,Stocks,NASDAQ,Technology
J.B.Hunt Transport Services Inc,JBHT,Stocks,NASDAQ,Services
Mattel Inc,MAT,Stocks,NASDAQ,ConsumerGoods
JetBlue Airways Corp,JBLU,Stocks,NASDAQ,Services
Newell Brands Inc.,NWL,Stocks,NASDAQ,ConsumerGoods
Calumet Inc,CLMT,Stocks,NASDAQ,BasicMaterials
Expedia Group Inc,EXPE,Stocks,NASDAQ,Services
Navient Corp,NAVI,Stocks,NASDAQ,Financial
Advanced Micro Devices Inc,AMD,Stocks,NASDAQ,Technology
Wynn Resorts Ltd,WYNN,Stocks,NASDAQ,Services
Host Hotels & Resorts Inc,HST,Stocks,NASDAQ,Financial
Essendant Inc,ESND,Stocks,NASDAQ,Services
LifePoint Health Inc,LPNT,Stocks,NASDAQ,Healthcare
Fiserv Inc,FISV,Stocks,NASDAQ,Services
Cincinnati Financial Corp,CINF,Stocks,NASDAQ,Financial
Zillow Group Inc,Z,Stocks,NASDAQ,Financial
Lam Research Corp,LRCX,Stocks,NASDAQ,Technology
Cintas Corp,CTAS,Stocks,NASDAQ,Services
Andersons Inc,ANDE,Stocks,NASDAQ,ConsumerGoods
Northern Trust Corp,NTRS,Stocks,NASDAQ,Financial
Intuit Inc,INTU,Stocks,NASDAQ,Technology
Liberty Media Formula One Corp Series A ,FWONA,Stocks,NASDAQ,Services
Bloomin Brands Inc,BLMN,Stocks,NASDAQ,Services
Hasbro Inc,HAS,Stocks,NASDAQ,ConsumerGoods
AmTrust Financial Services Inc,AFSI,Stocks,NASDAQ,Financial
T Rowe Price Group Inc,TROW,Stocks,NASDAQ,Financial
Silgan Holdings Inc,SLGN,Stocks,NASDAQ,ConsumerGoods
Marriott International Inc,MAR,Stocks,NASDAQ,Services
"Match Group, Inc",MTCH,Stocks,NASDAQ,Services
SolarEdge Technologies,SEDG,Stocks,NASDAQ,IndustrialGoods
Nintendo CO Ltd-ADR,NTDOY,Stocks,NASDAQ,IndustrialGoods
Regeneron Pharmaceuticals Inc,REGN,Stocks,NASDAQ,Healthcare
Sangamo Therapeutics Inc,SGMO,Stocks,NASDAQ,Healthcare
Intellia Therapeutics Inc,NTLA,Stocks,NASDAQ,IndustrialGoods
Editas Medicine Inc,EDIT,Stocks,NASDAQ,IndustrialGoods
Cellectis SA-ADR,CLLS,Stocks,NASDAQ,IndustrialGoods
First Interstate BancSystem Inc,FIBK,Stocks,NASDAQ,Financial
UMB Financial Corp,UMBF,Stocks,NASDAQ,Financial
Commerce Bancshares Inc,CBSH,Stocks,NASDAQ,Financial
First Financial Bankshares Inc,FFIN,Stocks,NASDAQ,Financial
United Bankshares Inc/WV,UBSI,Stocks,NASDAQ,Financial
Hancock Whitney Corp,HWC,Stocks,NASDAQ,Financial
Triumph Financial Inc,TFIN,Stocks,NASDAQ,Financial
BOK Financial Corp,BOKF,Stocks,NASDAQ,Financial
CVB Financial Corp,CVBF,Stocks,NASDAQ,Financial
Fulton Financial Corp,FULT,Stocks,NASDAQ,Financial
Cathay General Bancorp,CATY,Stocks,NASDAQ,Financial
First Hawaiian Inc,FHB,Stocks,NASDAQ,Financial
Eastern Bankshares Inc,EBC,Stocks,NASDAQ,Financial
Simmons First National Corp,SFNC,Stocks,NASDAQ,Financial
Meta Financial Group Inc,CASH,Stocks,NASDAQ,Financial
Lakeland Financial Corp,LKFN,Stocks,NASDAQ,Financial
Bancorp Inc,TBBK,Stocks,NASDAQ,Financial
First Bancorp/Southern Pines NC,FBNC,Stocks,NASDAQ,Financial
Atlanta Braves Holdings IN-C,BATRK,Stocks,NASDAQ,Services
Five9 Inc,FIVN,Stocks,NASDAQ,Technology
Himax Technologies Inc-ADR,HIMX,Stocks,NASDAQ,Technology
Advanced Energy Industries Inc,AEIS,Stocks,NASDAQ,IndustrialGoods
Middlesex Water Company,MSEX,Stocks,NASDAQ,Utilities
Cipher Mining Inc,CIFR,Stocks,NASDAQ,ConsumerGoods
Mobileye Global Inc,MBLY,Stocks,NASDAQ,Technology
Enlight Renewable Energy Ltd,ENLT,Stocks,NASDAQ,Utilities
AtaiBeckley Inc,ATAI,Stocks,NASDAQ,Healthcare
Dave Inc.,DAVE,Stocks,NASDAQ,Services
GE HealthCare Technologies Inc,GEHC,Stocks,NASDAQ,ConsumerGoods
"Scilex Holding Company ""Restricted Stock""",SCLX,Stocks,NASDAQ,ConsumerGoods
Toro Corp,TORO,Stocks,NASDAQ,IndustrialGoods
Liberty Live Holdings Inc-A ,LLYVA,Stocks,NASDAQ,Services
WEBTOON Entertainment Inc,WBTN,Stocks,NASDAQ,ConsumerGoods
CXApp Inc,CXAI,Stocks,NASDAQ,Technology
Mink Therapeutics Inc,INKT,Stocks,NASDAQ,Healthcare
Ouster Inc,OUST,Stocks,NASDAQ,Technology
Akamai Technologies,AKAM,Stocks,NASDAQ,Technology
American Railcar Industries Inc,ARII,Stocks,NASDAQ,Services
Cavium Inc,CAVM,Stocks,NASDAQ,Technology
Churchill Downs Inc.,CHDN,Stocks,NASDAQ,Services
CME Group,CME,Stocks,NASDAQ,Financial
The Cooper Companies Inc,COO,Stocks,NASDAQ,Healthcare
Uniti Group Inc,UNIT,Stocks,NASDAQ,Services
CyberArk,CYBR,Stocks,NASDAQ,Technology
Domino's Pizza Inc,DPZ,Stocks,NASDAQ,Services
Gaming and Leisure,GLPI,Stocks,NASDAQ,Financial
Garmin Ltd.,GRMN,Stocks,NASDAQ,Technology
Globalstar,GSAT,Stocks,NASDAQ,Technology
Hain Celestial,HAIN,Stocks,NASDAQ,Services
Interactive Brokers Group,IBKR,Stocks,NASDAQ,Financial
Illumina,ILMN,Stocks,NASDAQ,Healthcare
Imperva,IMPV,Stocks,NASDAQ,Technology
Incyte Corp.,INCY,Stocks,NASDAQ,Healthcare
Ionis Pharmaceuticals,IONS,Stocks,NASDAQ,Healthcare
Ipg Photonics Corp.,IPGP,Stocks,NASDAQ,Technology
Jazz Pharmaceuticals,JAZZ,Stocks,NASDAQ,Healthcare
Kraft Heinz Co,KHC,Stocks,NASDAQ,ConsumerGoods
Lamar Advertising Company,LAMR,Stocks,NASDAQ,Financial
Liberty Global A,LBTYA,Stocks,NASDAQ,Services
Liberty Global C,LBTYK,Stocks,NASDAQ,Services
Liberty Latin America Ltd.,LILA,Stocks,NASDAQ,Services
Media General,MEG,Stocks,NASDAQ,Services
MercadoLibre Inc,MELI,Stocks,NASDAQ,Services
Makemytrip,MMYT,Stocks,NASDAQ,Services
Monster Beverage Corp,MNST,Stocks,NASDAQ,Services
NXP Semiconductors,NXPI,Stocks,NASDAQ,Technology
Puma Biotechnology Inc,PBYI,Stocks,NASDAQ,Healthcare
Power Integrations,POWI,Stocks,NASDAQ,Technology
Pilgrim's Pride,PPC,Stocks,NASDAQ,ConsumerGoods
Roper Technologies Inc,ROP,Stocks,NASDAQ,IndustrialGoods
SBA Communications Corporation,SBAC,Stocks,NASDAQ,Technology
Signature Bank,SBNY,Stocks,NASDAQ,Financial
SEI Investments Company,SEIC,Stocks,NASDAQ,Financial
Shopify Inc.,SHOP,Stocks,NASDAQ,Technology
Stericycle,SRCL,Stocks,NASDAQ,IndustrialGoods
Smith & Wesson Brands Inc,SWBI,Stocks,NASDAQ,IndustrialGoods
Skyworks Solutions,SWKS,Stocks,NASDAQ,Technology
Synaptics Inc.,SYNA,Stocks,NASDAQ,Technology
Syntel,SYNT,Stocks,NASDAQ,Technology
Trimble Inc.,TRMB,Stocks,NASDAQ,Technology
Viavi Solutions,VIAV,Stocks,NASDAQ,Technology
Verisk Analytics,VRSK,Stocks,NASDAQ,Services
Verisign,VRSN,Stocks,NASDAQ,Technology
Vertex Pharmaceuticals Incorporated,VRTX,Stocks,NASDAQ,Healthcare
Willis Towers Watson Public Limited Company,WTW,Stocks,NASDAQ,Services
Dentsply Sirona Inc.,XRAY,Stocks,NASDAQ,Healthcare
Wendy's,WEN,Stocks,NASDAQ,Conglomerates
Credit Acceptance,CACC,Stocks,NASDAQ,Financial
Vistance Networks Inc,VISN,Stocks,NASDAQ,Technology
Fastenal Company,FAST,Stocks,NASDAQ,Conglomerates
Blackhawk Network Holdings,HAWK,Stocks,NASDAQ,Technology
Broadcom Inc,AVGO,Stocks,NASDAQ,Technology
AstraZeneca PLC ADR,AZN,Stocks,NASDAQ,ConsumerGoods
Linde PLC,LIN,Stocks,NASDAQ,BasicMaterials
ASML Holding NV,ASML,Stocks,NASDAQ,Technology
Intuitive Surgical Inc,ISRG,Stocks,NASDAQ,ConsumerGoods
T-Mobile Us Inc,TMUS,Stocks,NASDAQ,Services
Workday Inc A,WDAY,Stocks,NASDAQ,Technology
Equinix Inc,EQIX,Stocks,NASDAQ,Financial
TD Ameritrade Holding Corp,AMTD,Stocks,NASDAQ,Financial
Paychex Inc,PAYX,Stocks,NASDAQ,Technology
Sirius XM Holdings Inc,SIRI,Stocks,NASDAQ,Services
Atlassian Corp PLC A,TEAM,Stocks,NASDAQ,Technology
Align Technology Inc,ALGN,Stocks,NASDAQ,ConsumerGoods
Lululemon Athletica Inc,LULU,Stocks,NASDAQ,ConsumerGoods
Microchip Technology Inc,MCHP,Stocks,NASDAQ,Technology
Ulta Beauty Inc,ULTA,Stocks,NASDAQ,ConsumerGoods
KLA Corp,KLAC,Stocks,NASDAQ,Technology
IDEXX Laboratories Inc,IDXX,Stocks,NASDAQ,ConsumerGoods
Cadence Design Systems Inc,CDNS,Stocks,NASDAQ,Technology
