name,symbol,instrument type,exchange,industry
Anoto Group AB,ANOT.ST,Stocks,Stockholm,-
Bong AB,BONG.ST,Stocks,Stockholm,-
CTT Systems AB,CTT.ST,Stocks,Stockholm,-
Sveafastigheter AB,SVEAF.ST,Stocks,Stockholm,-
Enea AB,ENEA.ST,Stocks,Stockholm,-
KNOW IT AB,KNOW.ST,Stocks,Stockholm,-
AstraZeneca PLC,AZN.ST,Stocks,Stockholm,-
Stockwik Forvaltning AB,STWK.ST,Stocks,Stockholm,-
ABB Ltd,ABB.ST,Stocks,Stockholm,-
Studsvik AB,SVIK.ST,Stocks,Stockholm,-
Proact IT Group AB,PACT.ST,Stocks,Stockholm,-
TietoEVRY Oyj,TIETOS.ST,Stocks,Stockholm,-
Precise Biometrics AB,PREC.ST,Stocks,Stockholm,-
G5 Entertainment AB,G5EN.ST,Stocks,Stockholm,-
Neobo Fastigheter AB,NEOBO.ST,Stocks,Stockholm,-
TradeDoubler AB,TRAD.ST,Stocks,Stockholm,-
MEKO AB,MEKO.ST,Stocks,Stockholm,-
Sensys Gatso Group AB,SGG.ST,Stocks,Stockholm,-
Moment Group AB,MOMENT.ST,Stocks,Stockholm,-
Ependion AB,EPEN.ST,Stocks,Stockholm,-
Eniro Group AB,ENRO.ST,Stocks,Stockholm,-
SinterCast AB,SINT.ST,Stocks,Stockholm,-
BioInvent International AB,BINV.ST,Stocks,Stockholm,-
Nobia AB,NOBI.ST,Stocks,Stockholm,-
Cellavision AB,CEVI.ST,Stocks,Stockholm,-
Balco Group AB,BALCO.ST,Stocks,Stockholm,-
ITAB Shop Concept AB,ITAB.ST,Stocks,Stockholm,-
Note AB,NOTE.ST,Stocks,Stockholm,-
Hansa Biopharma AB,HNSA.ST,Stocks,Stockholm,-
Bjorn Borg AB,BORG.ST,Stocks,Stockholm,-
NAXS AB,NAXS.ST,Stocks,Stockholm,-
FormPipe Software AB,FPIP.ST,Stocks,Stockholm,-
Seafire AB,SEAF.ST,Stocks,Stockholm,-
Vivesto AB,VIVE.ST,Stocks,Stockholm,-
Wise Group AB,WISE.ST,Stocks,Stockholm,-
Orexo AB,ORX.ST,Stocks,Stockholm,-
Elon AB,ELON.ST,Stocks,Stockholm,-
Gruvaktiebolaget Viscaria,VISC.ST,Stocks,Stockholm,-
BE Group AB,BEGR.ST,Stocks,Stockholm,-
Nederman Holding AB,NMAN.ST,Stocks,Stockholm,-
Railcare Group AB,RAIL.ST,Stocks,Stockholm,-
Eastnine AB,EAST.ST,Stocks,Stockholm,-
Vestum AB,VESTUM.ST,Stocks,Stockholm,-
Boule Diagnostics AB,BOUL.ST,Stocks,Stockholm,-
Ework Group AB,EWRK.ST,Stocks,Stockholm,-
Volati AB,VOLO.ST,Stocks,Stockholm,-
Arise AB,ARISE.ST,Stocks,Stockholm,-
Nelly Group AB,NELLY.ST,Stocks,Stockholm,-
Byggmax Group AB,BMAX.ST,Stocks,Stockholm,-
Alligator Bioscience AB,ATORX.ST,Stocks,Stockholm,-
Meren Energy Inc,MER.ST,Stocks,Stockholm,-
Dedicare AB,DEDI.ST,Stocks,Stockholm,-
Moberg Pharma AB,MOB.ST,Stocks,Stockholm,-
Karolinska Development AB,KDEV.ST,Stocks,Stockholm,-
Arla Plast AB,ARPL.ST,Stocks,Stockholm,-
Dustin Group AB,DUST.ST,Stocks,Stockholm,-
B3 Consulting Group AB,B3.ST,Stocks,Stockholm,-
GARO AB,GARO.ST,Stocks,Stockholm,-
Egetis Therapeutics AB,EGTX.ST,Stocks,Stockholm,-
Bulten AB,BULTEN.ST,Stocks,Stockholm,-
Sivers Semiconductors AB,SIVE.ST,Stocks,Stockholm,-
Green Landscaping Group AB,GREEN.ST,Stocks,Stockholm,-
Fastator AB,FASTAT.ST,Stocks,Stockholm,-
Hanza AB,HANZA.ST,Stocks,Stockholm,-
Mangold AB,MANG.ST,Stocks,Stockholm,-
Vicore Pharma Holding AB,VICO.ST,Stocks,Stockholm,-
Arctic Paper SA,ARP.ST,Stocks,Stockholm,-
Profoto Holding AB,PRFO.ST,Stocks,Stockholm,-
Oncopeptides AB,ONCO.ST,Stocks,Stockholm,-
Cantargia AB,CANTA.ST,Stocks,Stockholm,-
EQL Pharma AB,EQL.ST,Stocks,Stockholm,-
Better Collective A/S,BETCO.ST,Stocks,Stockholm,-
Saniona AB,SANION.ST,Stocks,Stockholm,-
XSpray Pharma AB,XSPRAY.ST,Stocks,Stockholm,-
Scandi Standard AB,SCST.ST,Stocks,Stockholm,-
Apotea AB,APOTEA.ST,Stocks,Stockholm,-
Humble Group AB,HUMBLE.ST,Stocks,Stockholm,-
TF Bank AB,TFBANK.ST,Stocks,Stockholm,-
Humana AB,HUM.ST,Stocks,Stockholm,-
Lundin Gold Inc,LUG.ST,Stocks,Stockholm,-
Eltel AB,ELTEL.ST,Stocks,Stockholm,-
Tobii AB,TOBII.ST,Stocks,Stockholm,-
Transtema Group AB,TRANS.ST,Stocks,Stockholm,-
Acast AB,ACAST.ST,Stocks,Stockholm,-
Coor Service Management Holding AB,COOR.ST,Stocks,Stockholm,-
Alimak Group AB,ALIG.ST,Stocks,Stockholm,-
Nanologica AB,NICA.ST,Stocks,Stockholm,-
Solid Forsakring AB,SFAB.ST,Stocks,Stockholm,-
Immunovia AB,IMMNOV.ST,Stocks,Stockholm,-
Xbrane Biopharma AB,XBRANE.ST,Stocks,Stockholm,-
Catena Media PLC,CTM.ST,Stocks,Stockholm,-
SynAct Pharma AB,SYNACT.ST,Stocks,Stockholm,-
Flerie AB,FLERIE.ST,Stocks,Stockholm,-
BICO Group AB,BICO.ST,Stocks,Stockholm,-
BHG Group AB,BHG.ST,Stocks,Stockholm,-
Isofol Medical AB,ISOFOL.ST,Stocks,Stockholm,-
Actic Group AB,ATIC.ST,Stocks,Stockholm,-
Instalco AB,INSTAL.ST,Stocks,Stockholm,-
Boozt AB,BOOZT.ST,Stocks,Stockholm,-
Sedana Medical AB,SEDANA.ST,Stocks,Stockholm,-
Lundin Mining Corp,LUMI.ST,Stocks,Stockholm,-
Qliro AB,QLIRO.ST,Stocks,Stockholm,-
Enity Holding AB,ENITY.ST,Stocks,Stockholm,-
Ferronordic AB,FNM.ST,Stocks,Stockholm,-
Enad Global 7 AB,EG7.ST,Stocks,Stockholm,-
Q-Linea AB,QLINEA.ST,Stocks,Stockholm,-
Infrea AB,INFREA.ST,Stocks,Stockholm,-
Ascelia Pharma AB,ACE.ST,Stocks,Stockholm,-
Lime Technologies AB,LIME.ST,Stocks,Stockholm,-
John Mattson Fastighetsforetagen AB,JOMA.ST,Stocks,Stockholm,-
Traton SE,8TRA.ST,Stocks,Stockholm,-
Besqab AB,BESQAB.ST,Stocks,Stockholm,-
Cinclus Pharma Holding AB,CINPHA.ST,Stocks,Stockholm,-
VNV Global AB,VNV.ST,Stocks,Stockholm,-
Genova Property Group AB,GPG.ST,Stocks,Stockholm,-
Stenhus Fastigheter I Norden AB,SFAST.ST,Stocks,Stockholm,-
Fasadgruppen Group AB,FG.ST,Stocks,Stockholm,-
Cint Group AB,CINT.ST,Stocks,Stockholm,-
Pierce Group AB,PIERCE.ST,Stocks,Stockholm,-
Linc AB,LINC.ST,Stocks,Stockholm,-
Sleep Cycle AB,SLEEP.ST,Stocks,Stockholm,-
Rvrc Holding AB,RVRC.ST,Stocks,Stockholm,-
VEF AB,VEFAB.ST,Stocks,Stockholm,-
Viva Wine Group AB,VIVA.ST,Stocks,Stockholm,-
Ctek AB,CTEK.ST,Stocks,Stockholm,-
Netel Holding AB,NETEL.ST,Stocks,Stockholm,-
Prisma Properties AB,PRISMA.ST,Stocks,Stockholm,-
Carasent AB,CARA.ST,Stocks,Stockholm,-
Cavotec Group AB,CCC.ST,Stocks,Stockholm,-
NOBA Bank Group AB,NOBA.ST,Stocks,Stockholm,-
Verisure PLC,VSURE.ST,Stocks,Stockholm,-
