name,symbol,instrument type,exchange,industry
DBV Technologies,DBV.PA,Stocks,Paris,ConsumerGoods
Parrot SA,PARRO.PA,Stocks,Paris,Technology
Claranova SADIR,CLA.PA,Stocks,Paris,Technology
Alten SA,ATE.PA,Stocks,Paris,IndustrialGoods
Arkema,AKE.PA,Stocks,Paris,BasicMaterials
Covivio SA,COV.PA,Stocks,Paris,Financial
Edenred SA,EDEN.PA,Stocks,Paris,ConsumerGoods
Elis SA,ELIS.PA,Stocks,Paris,ConsumerGoods
Eurazeo,RF.PA,Stocks,Paris,Financial
Eutelsat Communications,ETL.PA,Stocks,Paris,Services
Forvia,FRVIA.PA,Stocks,Paris,ConsumerGoods
Gecina,GFC.PA,Stocks,Paris,Financial
Icade SA,ICAD.PA,Stocks,Paris,Financial
Imerys,NK.PA,Stocks,Paris,IndustrialGoods
J C Decaux,DEC.PA,Stocks,Paris,Services
Emeis SA,EMEIS.PA,Stocks,Paris,ConsumerGoods
Rexel SA,RXL.PA,Stocks,Paris,ConsumerGoods
Rubis SCA,RUI.PA,Stocks,Paris,Utilities
Sartorius Stedim Biotech SA,DIM.PA,Stocks,Paris,ConsumerGoods
Scor SE,SCR.PA,Stocks,Paris,Financial
SES GLOBAL FDR,SESG.PA,Stocks,Paris,Services
Spie SA,SPIE.PA,Stocks,Paris,IndustrialGoods
Teleperformance SE,TEP.PA,Stocks,Paris,Technology
Wendel,MF.PA,Stocks,Paris,Financial
Worldline SA,WLN.PA,Stocks,Paris,Technology
FDJ United,FDJU.PA,Stocks,Paris,ConsumerGoods
Valneva SE,VLA.PA,Stocks,Paris,Healthcare
Stellantis NV,STLAP.PA,Stocks,Paris,ConsumerGoods
ID Logistics SAS,IDL.PA,Stocks,Paris,ConsumerGoods
Exosens SAS,EXENS.PA,Stocks,Paris,IndustrialGoods
OSE Immunotherapeutics SA,OSE.PA,Stocks,Paris,ConsumerGoods
Medincell SA,MEDCL.PA,Stocks,Paris,ConsumerGoods
Voltalia SA,VLTSA.PA,Stocks,Paris,Utilities
Novacyt SA,ALNOV.PA,Stocks,Paris,ConsumerGoods
Median Technologies SA,ALMDT.PA,Stocks,Paris,Technology
Wavestone SA,WAVE.PA,Stocks,Paris,Technology
Adocia SA,ADOC.PA,Stocks,Paris,ConsumerGoods
Planisware SA,PLNW.PA,Stocks,Paris,Technology
Quadient SA,QDT.PA,Stocks,Paris,Technology
Solutions 30 SE,S30.PA,Stocks,Paris,Technology
Vicat SA,VCT.PA,Stocks,Paris,IndustrialGoods
Assystem SA,ASY.PA,Stocks,Paris,ConsumerGoods
Altarea SCA,ALTA.PA,Stocks,Paris,Financial
Robertet SA,RBT.PA,Stocks,Paris,BasicMaterials
Nokia Oyj,NOKIA.PA,Stocks,Paris,Services
Kalray SA,ALKAL.PA,Stocks,Paris,Technology
Carbios SA,ALCRB.PA,Stocks,Paris,BasicMaterials
Jacquet Metals SA,JCQ.PA,Stocks,Paris,ConsumerGoods
Kaufman & Broad SA,KOF.PA,Stocks,Paris,ConsumerGoods
Compagnie des Alpes SA,CDA.PA,Stocks,Paris,ConsumerGoods
Equasens SA,EQS.PA,Stocks,Paris,Technology
GL Events SA,GLO.PA,Stocks,Paris,ConsumerGoods
Lisi SA,FII.PA,Stocks,Paris,IndustrialGoods
Seche Environnement SA,SCHP.PA,Stocks,Paris,IndustrialGoods
SMCP SA,SMCP.PA,Stocks,Paris,ConsumerGoods
Eurobio Scientific SA,ALERS.PA,Stocks,Paris,ConsumerGoods
Winamp Group,ALWIN.PA,Stocks,Paris,ConsumerGoods
Stef SA,STF.PA,Stocks,Paris,IndustrialGoods
Nanobiotix SA,NANO.PA,Stocks,Paris,ConsumerGoods
Manitou BF SA,MTU.PA,Stocks,Paris,IndustrialGoods
Aubay SA,AUB.PA,Stocks,Paris,Technology
Louis Hachette Group,ALHG.PA,Stocks,Paris,Technology
Metavisio SA,ALTHO.PA,Stocks,Paris,Technology
La Francaise de l Energie SA,FDE.PA,Stocks,Paris,Utilities
Guerbet SA,GBT.PA,Stocks,Paris,ConsumerGoods
Pierre et Vacances SA,VAC.PA,Stocks,Paris,Financial
Thermador Groupe SA,THEP.PA,Stocks,Paris,ConsumerGoods
Bonduelle SA,BON.PA,Stocks,Paris,ConsumerGoods
Pullup Entertainment SA,ALPUL.PA,Stocks,Paris,Technology
Fountaine Pajot SA,ALFPC.PA,Stocks,Paris,ConsumerGoods
Catana Group,ALCAT.PA,Stocks,Paris,ConsumerGoods
2Crsi SA,AL2SI.PA,Stocks,Paris,Technology
Sword Group SE,SWP.PA,Stocks,Paris,Technology
Vetoquinol SA,VETO.PA,Stocks,Paris,ConsumerGoods
Valbiotis SA,ALVAL.PA,Stocks,Paris,ConsumerGoods
Exail Technologies,EXA.PA,Stocks,Paris,IndustrialGoods
Carmat SA,ALCAR.PA,Stocks,Paris,ConsumerGoods
Abivax SA,ABVX.PA,Stocks,Paris,ConsumerGoods
Cibox Inter@ctive SA,ALCBX.PA,Stocks,Paris,Technology
Voyageurs du Monde SA,ALVDM.PA,Stocks,Paris,ConsumerGoods
Aramis Group SAS,ARAMI.PA,Stocks,Paris,Services
ABC Arbitrage SA,ABCA.PA,Stocks,Paris,Financial
Maisons du Monde SA,MDM.PA,Stocks,Paris,ConsumerGoods
Memscap SA,MEMS.PA,Stocks,Paris,Technology
74Software SA,74SW.PA,Stocks,Paris,Technology
Nacon SAS,NACON.PA,Stocks,Paris,Technology
Neurones SA,NRO.PA,Stocks,Paris,Technology
Hopium SA,ALHPI.PA,Stocks,Paris,ConsumerGoods
Reworld Media SA,ALREW.PA,Stocks,Paris,Services
Poxel SA,POXEL.PA,Stocks,Paris,ConsumerGoods
