name,symbol,instrument type,exchange,industry
Krones AG,KRN.DE,Stocks,Frankfurt,Technology
Duerr AG,DUE.DE,Stocks,Frankfurt,Technology
ADO Properties SA,ADJ.DE,Stocks,Frankfurt,Financial
Aurubis AG,NDA.DE,Stocks,Frankfurt,BasicMaterials
PUMA AG,PUM.DE,Stocks,Frankfurt,ConsumerGoods
Rheinmetall AG,RHM.DE,Stocks,Frankfurt,ConsumerGoods
Jenoptik,JEN.DE,Stocks,Frankfurt,Technology
Jungheinrich Aktie,JUN3.DE,Stocks,Frankfurt,IndustrialGoods
MERCK KGAA,MRK.DE,Stocks,Frankfurt,ConsumerGoods
HENSOLDT AG,HAG.DE,Stocks,Frankfurt,Technology
VERBIO Vereinigte BioEnergie AG,VBK.DE,Stocks,Frankfurt,Utilities
flatexDEGIRO SE,FTK.DE,Stocks,Frankfurt,Services
VOLKSWAGEN AG,VOW.DE,Stocks,Frankfurt,ConsumerGoods
Henkel AG & Co. KGaA,HEN.DE,Stocks,Frankfurt,ConsumerGoods
NAGARRO SE,NA9.DE,Stocks,Frankfurt,Technology
Klockner & Co SE,KCO.DE,Stocks,Frankfurt,BasicMaterials
TRATON SE,8TRA.DE,Stocks,Frankfurt,ConsumerGoods
Befesa S.A.,BFSA.DE,Stocks,Frankfurt,IndustrialGoods
PNE AG,PNE3.DE,Stocks,Frankfurt,Utilities
ELMOS SEMICONDUCTOR SE,ELG.DE,Stocks,Frankfurt,Technology
DEUTZ Aktiengesellschaft,DEZ.DE,Stocks,Frankfurt,IndustrialGoods
HYPOPORT SE,HYQ.DE,Stocks,Frankfurt,ConsumerGoods
AUTO1 GROUP SE,AG1.DE,Stocks,Frankfurt,ConsumerGoods
Pfeiffer Vacuum Technology AG,PFV.DE,Stocks,Frankfurt,IndustrialGoods
STABILUS SE,STM.DE,Stocks,Frankfurt,IndustrialGoods
DERMAPHARM HOLDING SE,DMP.DE,Stocks,Frankfurt,ConsumerGoods
ENERGIEKONTOR AG,EKT.DE,Stocks,Frankfurt,Utilities
GFT TECHNOLOGIES SE,GFT.DE,Stocks,Frankfurt,Technology
FORMYCON AG,FYB.DE,Stocks,Frankfurt,ConsumerGoods
HORNBACH Holding AG & Co. KGaA,HBH.DE,Stocks,Frankfurt,ConsumerGoods
Adtran Networks SE,ADV.DE,Stocks,Frankfurt,Services
FRIEDRICH VORWERK GROUP SE,VH2.DE,Stocks,Frankfurt,Utilities
STEICO SE,ST5.DE,Stocks,Frankfurt,ConsumerGoods
VIB Vermögen AG,VIH1.DE,Stocks,Frankfurt,Financial
Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,BVB.DE,Stocks,Frankfurt,ConsumerGoods
WACKER NEUSON SE,WAC.DE,Stocks,Frankfurt,IndustrialGoods
HAMBORNER REIT AG,HABA.DE,Stocks,Frankfurt,Financial
MBB SE,MBB.DE,Stocks,Frankfurt,ConsumerGoods
JOST WERKE SE,JST.DE,Stocks,Frankfurt,ConsumerGoods
Hamburger Hafen und Logistik Aktiengesellschaft,HHFA.DE,Stocks,Frankfurt,ConsumerGoods
Fuchs SE,FPE.DE,Stocks,Frankfurt,BasicMaterials
STRATEC SE,SBS.DE,Stocks,Frankfurt,ConsumerGoods
LPKF LASER & ELECTRONICS SE,LPK.DE,Stocks,Frankfurt,IndustrialGoods
BayWa Aktiengesellschaft,BYW6.DE,Stocks,Frankfurt,ConsumerGoods
MLP SE,MLP.DE,Stocks,Frankfurt,Financial
Secunet Security Networks Aktiengesellschaft,YSN.DE,Stocks,Frankfurt,Technology
ADESSO SE,ADN1.DE,Stocks,Frankfurt,Technology
ATOSS SOFTWARE AG,AOF.DE,Stocks,Frankfurt,Technology
Mutares SE & Co. KGaA,MUX.DE,Stocks,Frankfurt,Financial
AUMANN AG,AAG.DE,Stocks,Frankfurt,IndustrialGoods
AMADEUS FIRE AG,AAD.DE,Stocks,Frankfurt,ConsumerGoods
IONOS Group SE,IOS.DE,Stocks,Frankfurt,Technology
KWS SAAT SE & Co. KGaA,KWS.DE,Stocks,Frankfurt,BasicMaterials
SMA Solar Technology AG,S92.DE,Stocks,Frankfurt,IndustrialGoods
Porsche Automobil Holding SE,PAH3.DE,Stocks,Frankfurt,ConsumerGoods
TeamViewer AG,TMV.DE,Stocks,Frankfurt,Technology
HelloFresh SE,HFG.DE,Stocks,Frankfurt,ConsumerGoods
Siemens Energy AG,ENR.DE,Stocks,Frankfurt,IndustrialGoods
Porsche AG,P911.DE,Stocks,Frankfurt,ConsumerGoods
TUI AG,TUI1.DE,Stocks,Frankfurt,ConsumerGoods
RENK Group AG,R3NK.DE,Stocks,Frankfurt,IndustrialGoods
Linde PLC,LIN.DE,Stocks,Frankfurt,BasicMaterials
Douglas AG,DOU.DE,Stocks,Frankfurt,ConsumerGoods
Bayerische Motoren Werke AG,BMW3.DE,Stocks,Frankfurt,ConsumerGoods
Biontech SE,22UA.DE,Stocks,Frankfurt,ConsumerGoods
SCHOTT Pharma AG & Co KgaA,1SXP.DE,Stocks,Frankfurt,ConsumerGoods
SUSS MicroTec SE,SMHN.DE,Stocks,Frankfurt,Technology
Bitcoin Group SE,ADE.DE,Stocks,Frankfurt,Financial
PVA TePla AG,TPE.DE,Stocks,Frankfurt,Technology
Saf-Holland Se,SFQ.DE,Stocks,Frankfurt,ConsumerGoods
Sixt SE,SIX3.DE,Stocks,Frankfurt,ConsumerGoods
Knaus Tabbert AG,KTA.DE,Stocks,Frankfurt,ConsumerGoods
SynBiotic SE,SBX.DE,Stocks,Frankfurt,ConsumerGoods
Medios AG,ILM1.DE,Stocks,Frankfurt,ConsumerGoods
CLIQ Digital AG,CLIQ.DE,Stocks,Frankfurt,Services
Deutsche Beteiligungs AG,DBAN.DE,Stocks,Frankfurt,Financial
Bertrandt AG,BDT.DE,Stocks,Frankfurt,ConsumerGoods
Datagroup SE,D6H.DE,Stocks,Frankfurt,Technology
Alzchem Group AG,ACT.DE,Stocks,Frankfurt,BasicMaterials
Ryanair Holdings PLC,RY4C.DE,Stocks,Frankfurt,ConsumerGoods
Vossloh AG,VOS.DE,Stocks,Frankfurt,IndustrialGoods
Indus Holding AG,INH.DE,Stocks,Frankfurt,IndustrialGoods
Branicks Group AG,BRNK.DE,Stocks,Frankfurt,Financial
Sto SE & Co KgaA,STO3.DE,Stocks,Frankfurt,IndustrialGoods
Wuestenrot & Wuerttembergische AG,WUW.DE,Stocks,Frankfurt,Financial
Deutsche Rohstoff AG,DR0.DE,Stocks,Frankfurt,BasicMaterials
Cewe Stiftung & Co KGaA,CWC.DE,Stocks,Frankfurt,ConsumerGoods
M1 Kliniken AG,M12.DE,Stocks,Frankfurt,ConsumerGoods
Koenig & Bauer AG,SKB.DE,Stocks,Frankfurt,IndustrialGoods
7C Solarparken AG,HRPK.DE,Stocks,Frankfurt,Utilities
KSB SE & Co KGaA,KSB3.DE,Stocks,Frankfurt,IndustrialGoods
Haier Smart Home Co Ltd,690D.DE,Stocks,Frankfurt,ConsumerGoods
Basler AG,BSL.DE,Stocks,Frankfurt,IndustrialGoods
Takkt AG,TTK.DE,Stocks,Frankfurt,ConsumerGoods
CureVac NV,5CV.DE,Stocks,Frankfurt,ConsumerGoods
Nexus AG,NXU.DE,Stocks,Frankfurt,Technology
Mensch und Maschine Software SE,MUM.DE,Stocks,Frankfurt,Technology
init innovation in traffic systems SE,IXX.DE,Stocks,Frankfurt,ConsumerGoods
CHAPTERS Group AG,CHG.DE,Stocks,Frankfurt,Financial
ZEAL Network SE,TIMA.DE,Stocks,Frankfurt,ConsumerGoods
Washtec AG,WSU.DE,Stocks,Frankfurt,IndustrialGoods
All for One Group SE,A1OS.DE,Stocks,Frankfurt,Technology
PSI Software SE,PSAN.DE,Stocks,Frankfurt,Technology
Allgeier SE,AEIN.DE,Stocks,Frankfurt,Technology
Bijou Brigitte modische Accessoires AG,BIJ.DE,Stocks,Frankfurt,ConsumerGoods
Instone Real Estate Group SE,INS.DE,Stocks,Frankfurt,Financial
Einhell Germany AG,EIN.DE,Stocks,Frankfurt,IndustrialGoods
Villeroy & Boch AG,VIB3.DE,Stocks,Frankfurt,ConsumerGoods
Nabaltec AG,NTG.DE,Stocks,Frankfurt,BasicMaterials
tonies SE,TNIE.DE,Stocks,Frankfurt,ConsumerGoods
Raiffeisen Bank International AG,RAW.DE,Stocks,Frankfurt,Financial
Cherry SE,C3RY.DE,Stocks,Frankfurt,Technology
ParTec AG,JY0.DE,Stocks,Frankfurt,Technology
ProCredit Holding AG,PCZ.DE,Stocks,Frankfurt,Financial
Enapter AG,H2O.DE,Stocks,Frankfurt,Utilities
IVU Traffic Technologies AG,IVU.DE,Stocks,Frankfurt,Technology
Fabasoft AG,FAA.DE,Stocks,Frankfurt,Technology
Gesco SE,GSC1.DE,Stocks,Frankfurt,IndustrialGoods
Ernst Russ AG,ERAG.DE,Stocks,Frankfurt,IndustrialGoods
CeoTronics Audio Video Data Communication AG,CEK.DE,Stocks,Frankfurt,Services
Verbund AG,OEWA.DE,Stocks,Frankfurt,Utilities
Envitec Biogas AG,ETG.DE,Stocks,Frankfurt,Utilities
technotrans SE,TTR1.DE,Stocks,Frankfurt,IndustrialGoods
Lang & Schwarz AG,LUS1.DE,Stocks,Frankfurt,Financial
Hoenle AG,HNL.DE,Stocks,Frankfurt,IndustrialGoods
JDC Group AG,JDC.DE,Stocks,Frankfurt,Financial
