name,symbol,instrument type,exchange,industry
China Merchants Securities Co,6099.HK,Stocks,HongKong,BasicMaterials
XPeng Inc,9868.HK,Stocks,HongKong,BasicMaterials
Fuyao Glass Industry Group H,3606.HK,Stocks,HongKong,BasicMaterials
Hansoh Pharmaceutical Group,3692.HK,Stocks,HongKong,BasicMaterials
China Hongqiao Group Ltd,1378.HK,Stocks,HongKong,BasicMaterials
Laopu Gold Co Ltd,6181.HK,Stocks,HongKong,BasicMaterials
China Tourism Group Duty Free Corporation Limited,1880.HK,Stocks,HongKong,BasicMaterials
Prada S.p.A.,1913.HK,Stocks,HongKong,BasicMaterials
Shenwan Hongyuan Group Co Ltd,6806.HK,Stocks,HongKong,BasicMaterials
ZTO Express (Cayman) Inc,2057.HK,Stocks,HongKong,BasicMaterials
Budweiser Brewing Company APAC Limited,1876.HK,Stocks,HongKong,BasicMaterials
GF Securities Co Ltd,1776.HK,Stocks,HongKong,BasicMaterials
Aluminum Corp of China Ltd H,2600.HK,Stocks,HongKong,BasicMaterials
Shandong Gold Mining Co Ltd,1787.HK,Stocks,HongKong,BasicMaterials
Shanghai Electric Group Company Limited,2727.HK,Stocks,HongKong,BasicMaterials
JD Health International Inc,6618.HK,Stocks,HongKong,BasicMaterials
Chow Tai Fook Jewellery Group Limited,1929.HK,Stocks,HongKong,BasicMaterials
H World Group Limited,1179.HK,Stocks,HongKong,BasicMaterials
China Energy Engineering Corp Limited,3996.HK,Stocks,HongKong,BasicMaterials
China Vanke Co Ltd,2202.HK,Stocks,HongKong,BasicMaterials
BOC Aviation Limited,2588.HK,Stocks,HongKong,BasicMaterials
China Zheshang Bank Co Ltd,2016.HK,Stocks,HongKong,BasicMaterials
JD Logistics Inc,2618.HK,Stocks,HongKong,BasicMaterials
China Resources Mixc Lifestyle Services Limited,1209.HK,Stocks,HongKong,BasicMaterials
Orient Securities Company Limited,3958.HK,Stocks,HongKong,BasicMaterials
Smoore International Holdings Limited,6969.HK,Stocks,HongKong,BasicMaterials
Horizon Robotics Inc,9660.HK,Stocks,HongKong,BasicMaterials
Everbright Securities Company Limited,6178.HK,Stocks,HongKong,BasicMaterials
Zhejiang Leapmotor Technologies Ltd,9863.HK,Stocks,HongKong,BasicMaterials
Giant Biogene Holding Co Ltd,2367.HK,Stocks,HongKong,BasicMaterials
Chongqing Rural Commercial Bank Co Ltd,3618.HK,Stocks,HongKong,BasicMaterials
Sichuan Kelun Biotech Biopharmaceutical Co Ltd,6990.HK,Stocks,HongKong,BasicMaterials
Shanghai Pharmaceuticals H,2607.HK,Stocks,HongKong,BasicMaterials
Zoomlion Heavy Industry H,1157.HK,Stocks,HongKong,BasicMaterials
Ganfeng Lithium Group Co L H,1772.HK,Stocks,HongKong,BasicMaterials
Qingdao Port International H,6198.HK,Stocks,HongKong,BasicMaterials
Bilibili IncClass Z,9626.HK,Stocks,HongKong,BasicMaterials
